stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\dev\Faculdade\compGrafica\SpriteWalking\x64\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.02418] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02423] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02424] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02426] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02428] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02430] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02431] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02433] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02436] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02437] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02442] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02443] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02445] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.02449] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.02490] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.02496] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.04260] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.06331] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.06340] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.06346] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.06352] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.06355] Returning d3d_display: 000001D98BB68580
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.06356] al_display=000001D98BB68580
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.06357] al_display->vt=000001D98BB79500
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06410] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06448] PathFindOnPath failed to find d3dx9_43.dll
